faculty_id,course_id,section_id
F1,C001,S1
F2,C002,S1
F3,C003,S1
F4,C004,S1
F5,C005,S1
F6,C006,S1
F7,C007,S1
F8,C008,S1
F9,C009,S1
F10,C010,S1
F11,C001,S2
F12,C002,S2
F13,C003,S2
F14,C004,S2
F15,C005,S2
F16,C006,S2
F17,C007,S2
F18,C008,S2
F19,C009,S2
F20,C010,S2
F21,C001,S3
F22,C002,S3
F23,C003,S3
F24,C004,S3
F25,C005,S3
F26,C006,S3
F27,C007,S3
F28,C008,S3
F29,C009,S3
F30,C010,S3
F31,C001,S4
F32,C002,S4
F33,C003,S4
F34,C004,S4
F35,C005,S4
F36,C006,S4
F37,C007,S4
F38,C008,S4
F39,C009,S4
F40,C010,S4
F41,C001,S5
F42,C002,S5
F43,C003,S5
F44,C004,S5
F45,C005,S5
F46,C006,S5
F47,C007,S5
F48,C008,S5
F49,C009,S5
F50,C010,S5
F51,C001,S6
F52,C002,S6
F53,C003,S6
F54,C004,S6
F55,C005,S6
F56,C006,S6
F57,C007,S6
F58,C008,S6
F59,C009,S6
F60,C010,S6
F61,C001,S7
F62,C002,S7
F63,C003,S7
F64,C004,S7
F65,C005,S7
F66,C006,S7
F67,C007,S7
F68,C008,S7
F69,C009,S7
F70,C010,S7
F71,C001,S8
F72,C002,S8
F73,C003,S8
F74,C004,S8
F75,C005,S8
F76,C006,S8
F77,C007,S8
F78,C008,S8
F79,C009,S8
F80,C010,S8
F81,C001,S9
F82,C002,S9
F83,C003,S9
F84,C004,S9
F85,C005,S9
F86,C006,S9
F87,C007,S9
F88,C008,S9
F89,C009,S9
F90,C010,S9
F91,C001,S10
F92,C002,S10
F93,C003,S10
F94,C004,S10
F95,C005,S10
F96,C006,S10
F97,C007,S10
F98,C008,S10
F99,C009,S10
F100,C010,S10
F101,C001,S11
F102,C002,S11
F103,C003,S11
F104,C004,S11
F105,C005,S11
F106,C006,S11
F107,C007,S11
F108,C008,S11
F109,C009,S11
F110,C010,S11
F111,C001,S12
F112,C002,S12
F113,C003,S12
F114,C004,S12
F115,C005,S12
F116,C006,S12
F117,C007,S12
F118,C008,S12
F119,C009,S12
F120,C010,S12
F121,C001,S13
F122,C002,S13
F123,C003,S13
F124,C004,S13
F125,C005,S13
F126,C006,S13
F127,C007,S13
F128,C008,S13
F129,C009,S13
F130,C010,S13
F131,C001,S14
F132,C002,S14
F133,C003,S14
F134,C004,S14
F135,C005,S14
F136,C006,S14
F137,C007,S14
F138,C008,S14
F139,C009,S14
F140,C010,S14
F141,C001,S15
F142,C002,S15
F143,C003,S15
F144,C004,S15
F145,C005,S15
F146,C006,S15
F147,C007,S15
F148,C008,S15
F149,C009,S15
F150,C010,S15
F151,C001,S16
F152,C002,S16
F153,C003,S16
F154,C004,S16
F155,C005,S16
F156,C006,S16
F157,C007,S16
F158,C008,S16
F159,C009,S16
F160,C010,S16
F161,C001,S17
F162,C002,S17
F163,C003,S17
F164,C004,S17
F165,C005,S17
F166,C006,S17
F167,C007,S17
F168,C008,S17
F169,C009,S17
F170,C010,S17
F171,C001,S18
F172,C002,S18
F173,C003,S18
F174,C004,S18
F175,C005,S18
F176,C006,S18
F177,C007,S18
F178,C008,S18
F179,C009,S18
F180,C010,S18
F181,C001,S19
F182,C002,S19
F183,C003,S19
F184,C004,S19
F185,C005,S19
F186,C006,S19
F187,C007,S19
F188,C008,S19
F189,C009,S19
F190,C010,S19
F191,C001,S20
F192,C002,S20
F193,C003,S20
F194,C004,S20
F195,C005,S20
F196,C006,S20
F197,C007,S20
F198,C008,S20
F199,C009,S20
F200,C010,S20
F201,C001,S21
F202,C002,S21
F203,C003,S21
F204,C004,S21
F205,C005,S21
F206,C006,S21
F207,C007,S21
F208,C008,S21
F209,C009,S21
F210,C010,S21
F211,C001,S22
F212,C002,S22
F213,C003,S22
F214,C004,S22
F215,C005,S22
F216,C006,S22
F217,C007,S22
F218,C008,S22
F219,C009,S22
F220,C010,S22
F221,C001,S23
F222,C002,S23
F223,C003,S23
F224,C004,S23
F225,C005,S23
F226,C006,S23
F227,C007,S23
F228,C008,S23
F229,C009,S23
F230,C010,S23
F231,C001,S24
F232,C002,S24
F233,C003,S24
F234,C004,S24
F235,C005,S24
F236,C006,S24
F237,C007,S24
F238,C008,S24
F239,C009,S24
F240,C010,S24
F241,C001,S25
F242,C002,S25
F243,C003,S25
F244,C004,S25
F245,C005,S25
F246,C006,S25
F247,C007,S25
F248,C008,S25
F249,C009,S25
F250,C010,S25
F1,C001,S26
F2,C002,S26
F3,C003,S26
F4,C004,S26
F5,C005,S26
F6,C006,S26
F7,C007,S26
F8,C008,S26
F9,C009,S26
F10,C010,S26
F11,C001,S27
F12,C002,S27
F13,C003,S27
F14,C004,S27
F15,C005,S27
F16,C006,S27
F17,C007,S27
F18,C008,S27
F19,C009,S27
F20,C010,S27
F21,C001,S28
F22,C002,S28
F23,C003,S28
F24,C004,S28
F25,C005,S28
F26,C006,S28
F27,C007,S28
F28,C008,S28
F29,C009,S28
F30,C010,S28
F31,C001,S29
F32,C002,S29
F33,C003,S29
F34,C004,S29
F35,C005,S29
F36,C006,S29
F37,C007,S29
F38,C008,S29
F39,C009,S29
F40,C010,S29
F41,C001,S30
F42,C002,S30
F43,C003,S30
F44,C004,S30
F45,C005,S30
F46,C006,S30
F47,C007,S30
F48,C008,S30
F49,C009,S30
F50,C010,S30
F51,C001,S31
F52,C002,S31
F53,C003,S31
F54,C004,S31
F55,C005,S31
F56,C006,S31
F57,C007,S31
F58,C008,S31
F59,C009,S31
F60,C010,S31
F61,C001,S32
F62,C002,S32
F63,C003,S32
F64,C004,S32
F65,C005,S32
F66,C006,S32
F67,C007,S32
F68,C008,S32
F69,C009,S32
F70,C010,S32
F71,C001,S33
F72,C002,S33
F73,C003,S33
F74,C004,S33
F75,C005,S33
F76,C006,S33
F77,C007,S33
F78,C008,S33
F79,C009,S33
F80,C010,S33
F81,C001,S34
F82,C002,S34
F83,C003,S34
F84,C004,S34
F85,C005,S34
F86,C006,S34
F87,C007,S34
F88,C008,S34
F89,C009,S34
F90,C010,S34
F91,C001,S35
F92,C002,S35
F93,C003,S35
F94,C004,S35
F95,C005,S35
F96,C006,S35
F97,C007,S35
F98,C008,S35
F99,C009,S35
F100,C010,S35
F101,C001,S36
F102,C002,S36
F103,C003,S36
F104,C004,S36
F105,C005,S36
F106,C006,S36
F107,C007,S36
F108,C008,S36
F109,C009,S36
F110,C010,S36
F111,C001,S37
F112,C002,S37
F113,C003,S37
F114,C004,S37
F115,C005,S37
F116,C006,S37
F117,C007,S37
F118,C008,S37
F119,C009,S37
F120,C010,S37
F121,C001,S38
F122,C002,S38
F123,C003,S38
F124,C004,S38
F125,C005,S38
F126,C006,S38
F127,C007,S38
F128,C008,S38
F129,C009,S38
F130,C010,S38
F131,C001,S39
F132,C002,S39
F133,C003,S39
F134,C004,S39
F135,C005,S39
F136,C006,S39
F137,C007,S39
F138,C008,S39
F139,C009,S39
F140,C010,S39
F141,C001,S40
F142,C002,S40
F143,C003,S40
F144,C004,S40
F145,C005,S40
F146,C006,S40
F147,C007,S40
F148,C008,S40
F149,C009,S40
F150,C010,S40
F151,C001,S41
F152,C002,S41
F153,C003,S41
F154,C004,S41
F155,C005,S41
F156,C006,S41
F157,C007,S41
F158,C008,S41
F159,C009,S41
F160,C010,S41
F161,C001,S42
F162,C002,S42
F163,C003,S42
F164,C004,S42
F165,C005,S42
F166,C006,S42
F167,C007,S42
F168,C008,S42
F169,C009,S42
F170,C010,S42
F171,C001,S43
F172,C002,S43
F173,C003,S43
F174,C004,S43
F175,C005,S43
F176,C006,S43
F177,C007,S43
F178,C008,S43
F179,C009,S43
F180,C010,S43
F181,C001,S44
F182,C002,S44
F183,C003,S44
F184,C004,S44
F185,C005,S44
F186,C006,S44
F187,C007,S44
F188,C008,S44
F189,C009,S44
F190,C010,S44
F191,C001,S45
F192,C002,S45
F193,C003,S45
F194,C004,S45
F195,C005,S45
F196,C006,S45
F197,C007,S45
F198,C008,S45
F199,C009,S45
F200,C010,S45
F201,C001,S46
F202,C002,S46
F203,C003,S46
F204,C004,S46
F205,C005,S46
F206,C006,S46
F207,C007,S46
F208,C008,S46
F209,C009,S46
F210,C010,S46
F211,C001,S47
F212,C002,S47
F213,C003,S47
F214,C004,S47
F215,C005,S47
F216,C006,S47
F217,C007,S47
F218,C008,S47
F219,C009,S47
F220,C010,S47
F221,C001,S48
F222,C002,S48
F223,C003,S48
F224,C004,S48
F225,C005,S48
F226,C006,S48
F227,C007,S48
F228,C008,S48
F229,C009,S48
F230,C010,S48
F231,C001,S49
F232,C002,S49
F233,C003,S49
F234,C004,S49
F235,C005,S49
F236,C006,S49
F237,C007,S49
F238,C008,S49
F239,C009,S49
F240,C010,S49
F241,C001,S50
F242,C002,S50
F243,C003,S50
F244,C004,S50
F245,C005,S50
F246,C006,S50
F247,C007,S50
F248,C008,S50
F249,C009,S50
F250,C010,S50
