faculty_id,course_id,section_id
F1,C001,S1
F2,C002,S1
F3,C003,S1
F4,C004,S1
F5,C005,S1
F6,C006,S1
F7,C007,S1
F8,C008,S1
F9,C009,S1
F10,C010,S1
F11,C001,S2
F12,C002,S2
F13,C003,S2
F14,C004,S2
F15,C005,S2
F16,C006,S2
F17,C007,S2
F18,C008,S2
F19,C009,S2
F20,C010,S2
F21,C001,S3
F22,C002,S3
F23,C003,S3
F24,C004,S3
F25,C005,S3
F26,C006,S3
F27,C007,S3
F28,C008,S3
F29,C009,S3
F30,C010,S3
F31,C001,S4
F32,C002,S4
F33,C003,S4
F34,C004,S4
F35,C005,S4
F36,C006,S4
F37,C007,S4
F38,C008,S4
F39,C009,S4
F40,C010,S4
F41,C001,S5
F42,C002,S5
F43,C003,S5
F44,C004,S5
F45,C005,S5
F46,C006,S5
F47,C007,S5
F48,C008,S5
F49,C009,S5
F50,C010,S5
F51,C001,S6
F52,C002,S6
F53,C003,S6
F54,C004,S6
F55,C005,S6
F56,C006,S6
F57,C007,S6
F58,C008,S6
F59,C009,S6
F60,C010,S6
F61,C001,S7
F62,C002,S7
F63,C003,S7
F64,C004,S7
F65,C005,S7
F66,C006,S7
F67,C007,S7
F68,C008,S7
F69,C009,S7
F70,C010,S7
F71,C001,S8
F72,C002,S8
F73,C003,S8
F74,C004,S8
F75,C005,S8
F76,C006,S8
F77,C007,S8
F78,C008,S8
F79,C009,S8
F80,C010,S8
F81,C001,S9
F82,C002,S9
F83,C003,S9
F84,C004,S9
F85,C005,S9
F1,C006,S9
F2,C007,S9
F3,C008,S9
F4,C009,S9
F5,C010,S9
F6,C001,S10
F7,C002,S10
F8,C003,S10
F9,C004,S10
F10,C005,S10
F11,C006,S10
F12,C007,S10
F13,C008,S10
F14,C009,S10
F15,C010,S10
F16,C001,S11
F17,C002,S11
F18,C003,S11
F19,C004,S11
F20,C005,S11
F21,C006,S11
F22,C007,S11
F23,C008,S11
F24,C009,S11
F25,C010,S11
F26,C001,S12
F27,C002,S12
F28,C003,S12
F29,C004,S12
F30,C005,S12
F31,C006,S12
F32,C007,S12
F33,C008,S12
F34,C009,S12
F35,C010,S12
F36,C001,S13
F37,C002,S13
F38,C003,S13
F39,C004,S13
F40,C005,S13
F41,C006,S13
F42,C007,S13
F43,C008,S13
F44,C009,S13
F45,C010,S13
F46,C001,S14
F47,C002,S14
F48,C003,S14
F49,C004,S14
F50,C005,S14
F51,C006,S14
F52,C007,S14
F53,C008,S14
F54,C009,S14
F55,C010,S14
F56,C001,S15
F57,C002,S15
F58,C003,S15
F59,C004,S15
F60,C005,S15
F61,C006,S15
F62,C007,S15
F63,C008,S15
F64,C009,S15
F65,C010,S15
F66,C001,S16
F67,C002,S16
F68,C003,S16
F69,C004,S16
F70,C005,S16
F71,C006,S16
F72,C007,S16
F73,C008,S16
F74,C009,S16
F75,C010,S16
F76,C001,S17
F77,C002,S17
F78,C003,S17
F79,C004,S17
F80,C005,S17
F81,C006,S17
F82,C007,S17
F83,C008,S17
F84,C009,S17
F85,C010,S17
